"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"2","0.202538169","157.240.196.60","10.9.1.23","TLSv1.2","138","Application Data"
"3","10.238791354","157.240.196.60","10.9.1.23","TLSv1.2","420","Application Data"
"4","10.265533942","10.9.1.23","157.240.196.60","TLSv1.2","167","Application Data"
"5","12.696555635","157.240.196.60","10.9.1.23","TLSv1.2","330","Application Data"
"6","12.751623443","10.9.1.23","157.240.196.60","TLSv1.2","157","Application Data"
"7","14.538561368","157.240.196.60","10.9.1.23","TLSv1.2","314","Application Data"
"8","14.602724002","10.9.1.23","157.240.196.60","TLSv1.2","157","Application Data"
"9","22.840094881","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"10","23.037319032","157.240.196.60","10.9.1.23","TLSv1.2","138","Application Data"
"11","25.204057203","10.9.1.23","157.240.196.60","TLSv1.2","129","Application Data"
"12","25.205936083","10.9.1.23","157.240.196.60","TLSv1.2","175","Application Data"
"13","25.804053627","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"14","26.232205485","10.9.1.23","157.240.196.60","TLSv1.2","152","Application Data"
"15","26.255131377","10.9.1.23","157.240.196.60","TLSv1.2","210","Application Data"
"16","26.290834322","10.9.1.23","157.240.196.60","TLSv1.2","744","Application Data"
"17","26.345876564","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"18","26.409966421","157.240.196.60","10.9.1.23","TLSv1.2","156","Application Data"
"19","26.621370590","157.240.196.60","10.9.1.23","TLSv1.2","191","Application Data"
"20","26.621370733","157.240.196.60","10.9.1.23","TLSv1.2","140","Application Data"
"21","26.651187669","10.9.1.23","157.240.196.60","TLSv1.2","152","Application Data"
"22","26.768396499","10.9.1.23","157.240.196.60","TLSv1.2","281","Application Data"
"23","26.775392710","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"24","26.802687641","157.240.196.60","10.9.1.23","TLSv1.2","223","Application Data"
"25","26.810504952","157.240.196.60","10.9.1.23","TLSv1.2","390","Application Data"
"26","26.815470109","10.9.1.23","157.240.196.60","TLSv1.2","263","Application Data"
"27","26.879416135","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"28","26.977757821","157.240.196.60","10.9.1.23","TLSv1.2","191","Application Data"
"29","26.978359075","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"30","26.981070946","157.240.196.60","10.9.1.23","TLSv1.2","186","Application Data"
"31","27.006081338","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"32","27.006387125","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"33","27.010850361","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"34","27.011253785","10.9.1.23","157.240.196.60","TLSv1.2","152","Application Data"
"35","27.016289432","10.9.1.23","157.240.196.60","TLSv1.2","463","Application Data"
"36","27.338273019","157.240.196.60","10.9.1.23","TLSv1.2","175","Application Data"
"37","27.338273178","157.240.196.60","10.9.1.23","TLSv1.2","390","Application Data"
"38","27.338273234","157.240.196.60","10.9.1.23","TLSv1.2","223","Application Data"
"39","27.338273289","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"40","27.348943063","10.9.1.23","157.240.196.60","TLSv1.2","263","Application Data"
"41","27.353939663","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"42","27.415668596","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"43","27.460669565","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"44","27.505298538","157.240.196.60","10.9.1.23","TLSv1.2","186","Application Data"
"45","27.513982854","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"46","27.514091755","10.9.1.23","157.240.196.60","TLSv1.2","252","Application Data, Application Data"
"47","27.525552654","10.9.1.23","157.240.196.60","TLSv1.2","463","Application Data"
"48","27.747793505","157.240.196.60","10.9.1.23","TLSv1.2","175","Application Data"
"49","27.885459818","10.9.1.23","157.240.196.60","TLSv1.2","760","Application Data"
"50","27.957910201","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"51","28.157984960","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"52","28.168444165","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"53","28.464818987","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"54","28.464819037","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"55","28.464819064","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"56","28.464819104","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"57","28.466861124","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"58","28.468376257","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"59","28.468414845","10.9.1.23","157.240.196.60","TLSv1.2","254","Application Data, Application Data"
"60","30.633339871","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"61","30.635587984","157.240.196.60","10.9.1.23","TLSv1.2","143","Application Data"
"62","31.034859011","10.9.1.23","157.240.196.60","TLSv1.2","265","Application Data"
"63","31.116823543","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"64","31.244435736","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"65","31.537846507","157.240.196.60","10.9.1.23","TLSv1.2","346","Application Data"
"66","31.537846671","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"67","31.537846699","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"68","31.571084595","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"69","31.573445962","10.9.1.23","157.240.196.60","TLSv1.2","161","Application Data"
"70","31.585455920","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"71","31.588881594","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"72","31.624273061","10.9.1.23","157.240.196.60","TLSv1.2","157","Application Data"
"73","31.632170363","10.9.1.23","157.240.196.60","TLSv1.2","169","Application Data"
"74","31.638055163","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"75","31.639364240","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"76","31.673310213","157.240.196.60","10.9.1.23","TLSv1.2","143","Application Data"
"77","31.788726930","157.240.196.60","10.9.1.23","TLSv1.2","156","Application Data"
"78","31.865327759","10.9.1.23","157.240.196.60","TLSv1.2","265","Application Data"
"79","32.152671695","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"80","32.460214279","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"81","32.460214427","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"82","32.460214498","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"83","32.463799975","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"84","32.468272664","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"85","32.468350920","10.9.1.23","157.240.196.60","TLSv1.2","161","Application Data"
"86","32.663385809","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"87","32.666034127","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"88","32.754664462","157.240.196.60","10.9.1.23","TLSv1.2","346","Application Data"
"89","32.808951016","10.9.1.23","157.240.196.60","TLSv1.2","157","Application Data"
"90","32.846386769","10.9.1.23","157.240.196.60","TLSv1.2","169","Application Data"
"91","32.956045143","157.240.196.60","10.9.1.23","TLSv1.2","143","Application Data"
"92","33.000906884","157.240.196.60","10.9.1.23","TLSv1.2","156","Application Data"
"93","33.256657549","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"94","33.997482122","157.240.196.60","10.9.1.23","TLSv1.2","346","Application Data"
"95","34.035513334","10.9.1.23","157.240.196.60","TLSv1.2","157","Application Data"
"96","34.045468474","10.9.1.23","157.240.196.60","TLSv1.2","169","Application Data"
"97","34.295885748","157.240.196.60","10.9.1.23","TLSv1.2","156","Application Data"
"98","34.421155545","157.240.196.60","10.9.1.23","TLSv1.2","143","Application Data"
"99","34.892860408","10.9.1.23","157.240.196.60","TLSv1.2","297","Application Data"
"100","34.966536365","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"101","35.206610572","10.9.1.23","157.240.196.60","TCP","4170","47216  >  443 [PSH, ACK] Seq=7361 Ack=6317 Win=501 Len=4104 TSval=3297773662 TSecr=3539331301 [TCP segment of a reassembled PDU]"
"102","35.208774658","10.9.1.23","157.240.196.60","TLSv1.2","489","Application Data"
"103","35.211369266","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"104","35.211369389","157.240.196.60","10.9.1.23","TLSv1.2","346","Application Data"
"105","35.264515618","10.9.1.23","157.240.196.60","TLSv1.2","157","Application Data"
"106","35.280241107","10.9.1.23","157.240.196.60","TLSv1.2","169","Application Data"
"107","35.366341940","157.240.196.60","10.9.1.23","TLSv1.2","130","Application Data"
"108","35.400731624","10.9.1.23","157.240.196.60","TLSv1.3","583","Client Hello"
"109","35.434247582","157.240.196.60","10.9.1.23","TLSv1.2","156","Application Data"
"110","35.442791805","157.240.196.60","10.9.1.23","TLSv1.3","278","Server Hello, Change Cipher Spec, Application Data"
"111","35.442936712","10.9.1.23","157.240.196.60","TLSv1.3","130","Change Cipher Spec, Application Data"
"112","35.443015899","10.9.1.23","157.240.196.60","TLSv1.3","164","Application Data"
"113","35.443316336","10.9.1.23","157.240.196.60","TLSv1.3","1606","Application Data, Application Data, Application Data"
"114","35.443554883","10.9.1.23","157.240.196.60","TLSv1.3","1136","Application Data"
"115","35.469110232","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"116","35.470244074","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"117","35.485163280","157.240.196.60","10.9.1.23","TLSv1.3","237","Application Data"
"118","35.485163309","157.240.196.60","10.9.1.23","TLSv1.3","140","Application Data"
"119","35.485244466","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"120","35.485268761","10.9.1.23","157.240.196.60","TLSv1.3","97","Application Data"
"121","35.486091135","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"122","35.486183160","157.240.196.60","10.9.1.23","TLSv1.3","123","Application Data"
"123","35.518738140","157.240.196.60","10.9.1.23","TLSv1.3","554","Application Data"
"124","35.536022721","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"125","35.537237119","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"126","35.560825325","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"127","35.564258547","10.9.1.23","157.240.196.60","TLSv1.2","161","Application Data"
"128","35.694218336","157.240.196.60","10.9.1.23","TLSv1.3","271","Application Data"
"129","35.932673274","10.9.1.23","157.240.196.60","TLSv1.2","281","Application Data"
"130","36.101362083","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"131","36.138454793","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"132","36.446892378","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"133","36.446892671","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"134","36.446892763","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"135","36.453560625","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"136","36.456503473","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"137","36.456591738","10.9.1.23","157.240.196.60","TLSv1.2","161","Application Data"
"138","36.761501294","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"139","36.764228549","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"140","36.832281291","10.9.1.23","157.240.196.60","TLSv1.2","281","Application Data"
"141","36.998122838","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"142","37.077734075","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"143","37.476311804","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"144","37.476311892","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"145","37.476311944","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"146","37.476312026","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"147","37.481015213","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"148","37.555024264","10.9.1.23","157.240.196.60","TLSv1.2","281","Application Data"
"149","37.662300206","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"150","37.764102984","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"151","37.773864663","157.240.196.60","10.9.1.23","TLSv1.2","143","Application Data"
"152","37.781737749","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"153","37.781821305","10.9.1.23","157.240.196.60","TLSv1.2","254","Application Data, Application Data"
"154","38.090389678","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"155","38.090389851","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"156","38.090389902","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"157","38.090389958","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"158","38.095376862","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"159","38.102283342","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"160","38.102335963","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"161","38.102577149","10.9.1.23","157.240.196.60","TLSv1.2","161","Application Data"
"162","38.353247759","10.9.1.23","157.240.196.60","TLSv1.2","281","Application Data"
"163","38.488503587","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"164","38.564891922","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"165","38.910441823","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"166","38.910442003","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"167","38.910442075","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"168","38.910442123","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"169","38.913081034","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"170","38.916393034","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"171","38.916457398","10.9.1.23","157.240.196.60","TLSv1.2","254","Application Data, Application Data"
"172","39.143600607","10.9.1.23","157.240.196.60","TLSv1.2","281","Application Data"
"173","39.240972364","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"174","39.369374723","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"175","39.729247470","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"176","39.729247748","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"177","39.732417429","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"178","39.742953658","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"179","39.812543786","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"180","39.815059803","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"181","39.975894466","10.9.1.23","157.240.196.60","TLSv1.2","281","Application Data"
"182","40.221589649","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"183","40.224787907","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"184","40.548064787","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"185","40.550320523","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"186","40.598185671","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"187","40.600978245","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"188","40.784720290","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"189","40.792839530","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"190","41.007722889","10.9.1.23","157.240.196.60","TLSv1.2","281","Application Data"
"191","41.122410744","157.240.196.60","10.9.1.23","TLSv1.2","143","Application Data"
"192","41.223535645","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"193","41.282855688","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"194","41.472219690","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"195","41.474922914","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"196","41.505515623","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"197","41.508144066","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"198","41.776895550","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"199","41.779358045","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"200","42.115389573","10.9.1.23","157.240.196.60","TLSv1.2","281","Application Data"
"201","42.161681855","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"202","42.392438199","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"203","42.416763937","157.240.196.60","10.9.1.23","TLSv1.2","143","Application Data"
"204","42.698258484","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"205","42.698258646","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"206","42.699563932","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"207","42.701293158","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"208","42.732172877","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"209","42.733529765","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"210","42.972302952","10.9.1.23","157.240.196.60","TLSv1.2","265","Application Data"
"211","43.085520682","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"212","43.182162436","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"213","43.518167356","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"214","43.518167504","157.240.196.60","10.9.1.23","TLSv1.2","240","Application Data"
"215","43.518167556","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"216","43.526325008","157.240.196.60","10.9.1.23","TLSv1.2","240","Application Data"
"217","43.526936947","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"218","43.535322702","10.9.1.23","157.240.196.60","TLSv1.2","161","Application Data"
"219","43.535385013","10.9.1.23","157.240.196.60","TLSv1.2","254","Application Data, Application Data"
"220","43.825149558","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"221","43.825149734","157.240.196.60","10.9.1.23","TLSv1.2","362","Application Data"
"222","43.834799198","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"223","43.889085104","10.9.1.23","157.240.196.60","TLSv1.2","157","Application Data"
"224","43.898833972","10.9.1.23","157.240.196.60","TLSv1.2","169","Application Data"
"225","44.092329925","10.9.1.23","157.240.196.60","TLSv1.2","281","Application Data"
"226","44.095268074","157.240.196.60","10.9.1.23","TLSv1.2","156","Application Data"
"227","44.124047647","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"228","44.336829050","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"229","44.644130869","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"230","44.644131104","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"231","44.644131157","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"232","44.647713530","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"233","44.652049806","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"234","44.655857944","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"235","44.666643186","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"236","44.670921415","10.9.1.23","157.240.196.60","TLSv1.2","161","Application Data"
"237","44.952941955","10.9.1.23","157.240.196.60","TLSv1.2","281","Application Data"
"238","45.025197880","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"239","45.143002966","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"240","45.463679335","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"241","45.466498388","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"242","45.556942153","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"243","45.558295079","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"244","45.770550092","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"245","45.773031717","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"246","45.851299287","10.9.1.23","157.240.196.60","TLSv1.2","281","Application Data"
"247","46.180639123","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"248","46.487303292","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"249","46.487303490","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"250","46.490381322","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"251","46.494850502","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"252","46.546955064","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"253","46.549529863","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"254","46.781827412","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"255","47.309290253","157.240.196.60","10.9.1.23","TLSv1.2","143","Application Data"
"256","49.390154796","10.9.1.23","157.240.196.60","TLSv1.2","313","Application Data"
"257","49.602747611","10.9.1.23","157.240.196.60","TLSv1.2","136","Application Data"
"258","49.605832385","157.240.196.60","10.9.1.23","TLSv1.2","177","Application Data"
"259","49.969616421","157.240.196.60","10.9.1.23","TLSv1.2","163","Application Data"
"260","49.969616475","157.240.196.60","10.9.1.23","TLSv1.2","161","Application Data"
"261","49.969616532","157.240.196.60","10.9.1.23","TLSv1.2","204","Application Data"
"262","49.969616584","157.240.196.60","10.9.1.23","TLSv1.2","204","Application Data"
"263","49.976009647","10.9.1.23","157.240.196.60","TLSv1.2","162","Application Data"
"264","49.988906701","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"265","49.988988827","10.9.1.23","157.240.196.60","TLSv1.2","161","Application Data"
"266","49.989676649","10.9.1.23","157.240.196.60","TLSv1.2","161","Application Data"
"267","50.009790768","157.240.196.60","10.9.1.23","TLSv1.2","160","Application Data"
"268","50.011487942","10.9.1.23","157.240.196.60","TLSv1.2","159","Application Data"
"269","52.427211532","157.240.196.60","10.9.1.23","TLSv1.2","724","Application Data"
"270","52.454806119","10.9.1.23","157.240.196.60","TLSv1.2","297","Application Data"
"271","52.473083775","10.9.1.23","157.240.196.60","TLSv1.2","157","Application Data"
"272","52.514334714","157.240.196.60","10.9.1.23","TLSv1.2","143","Application Data"
